,微博正文,点赞数,转发数,评论数,附图,附链接,TAG,明星,清洗正文,正文
0,在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗[组图共9张]原图,0,0,1,"<re.Match object; span=(62, 71), match='[组图共9张]原图'>",[],[],[],在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗,在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗
1,#肖战最好的你[超话]##肖战顾魏#肖战顾魏#肖战余生请多指教#肖战余生请多指教3.21肖战敏而好学，肖战仪表堂堂，肖战温文尔雅，肖战谦谦君子，肖战玉树临风，肖战乐于助人，肖战气宇轩昂，肖战光明磊落，肖战博学多才，肖战脚踏实地，肖战堂堂正正，肖战问心无愧，肖战襟怀坦荡，肖战勇往直前，肖战不骄不躁，肖战顺顺利利，肖战越来越好！@X玖少年团肖战DAYTOY原图,0,0,12,"<re.Match object; span=(177, 179), match='原图'>",[],"['肖战最好的你[超话]', '肖战顾魏', '肖战余生请多指教']",['@X玖少年团肖战DAYTOY'],肖战顾魏肖战余生请多指教3.21肖战敏而好学，肖战仪表堂堂，肖战温文尔雅，肖战谦谦君子，肖战玉树临风，肖战乐于助人，肖战气宇轩昂，肖战光明磊落，肖战博学多才，肖战脚踏实地，肖战堂堂正正，肖战问心无愧，肖战襟怀坦荡，肖战勇往直前，肖战不骄不躁，肖战顺顺利利，肖战越来越好！@X玖少年团肖战DAYTOY,肖战顾魏肖战余生请多指教3.21肖战敏而好学，肖战仪表堂堂，肖战温文尔雅，肖战谦谦君子，肖战玉树临风，肖战乐于助人，肖战气宇轩昂，肖战光明磊落，肖战博学多才，肖战脚踏实地，肖战堂堂正正，肖战问心无愧，肖战襟怀坦荡，肖战勇往直前，肖战不骄不躁，肖战顺顺利利，肖战越来越好！@X玖少年团肖战DAYTOY
8,"在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常，面对生活、工作，我们也会以这样的心态向阳而生[组图共9张]原图",1,0,0,"<re.Match object; span=(114, 123), match='[组图共9张]原图'>",[],[],[],"在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常，面对生活、工作，我们也会以这样的心态向阳而生","在每一个当下，选择不消极不埋怨，每一个决定和选择都全力以赴;在每一次的工作中找到自己的乐趣，这就够了。至少自己尽力了，不是吗弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常，面对生活、工作，我们也会以这样的心态向阳而生"
9,#肖战最好的你[超话]##肖战参演如梦之梦#肖战参演如梦之梦#如梦之梦九周年#如梦之梦九周年3.20肖战帅气又才华横溢，我好喜欢肖战！话剧《如梦之梦》官宣了肖战将出演剧中的五号病人。为肖战高兴了！能在话剧舞台上展示自己的实力并与同行、前辈们交流切磋，想想都觉得兴奋！他真的对演戏由衷地热爱啊！不仅演技和台词功力日益精进，还接受了话剧舞台表演的挑战。肖战，你不屈不挠的努力和向阳而生的决心，我们都看在眼里，记在心上！期待舞台上熠熠生辉的你带来的惊喜！@X玖少年团肖战DAYTOY原图,1,0,25,"<re.Match object; span=(238, 240), match='原图'>",[],"['肖战最好的你[超话]', '肖战参演如梦之梦', '如梦之梦九周年']",['@X玖少年团肖战DAYTOY'],肖战参演如梦之梦如梦之梦九周年3.20肖战帅气又才华横溢，我好喜欢肖战！话剧《如梦之梦》官宣了肖战将出演剧中的五号病人。为肖战高兴了！能在话剧舞台上展示自己的实力并与同行、前辈们交流切磋，想想都觉得兴奋！他真的对演戏由衷地热爱啊！不仅演技和台词功力日益精进，还接受了话剧舞台表演的挑战。肖战，你不屈不挠的努力和向阳而生的决心，我们都看在眼里，记在心上！期待舞台上熠熠生辉的你带来的惊喜！@X玖少年团肖战DAYTOY,肖战参演如梦之梦如梦之梦九周年3.20肖战帅气又才华横溢，我好喜欢肖战！话剧《如梦之梦》官宣了肖战将出演剧中的五号病人。为肖战高兴了！能在话剧舞台上展示自己的实力并与同行、前辈们交流切磋，想想都觉得兴奋！他真的对演戏由衷地热爱啊！不仅演技和台词功力日益精进，还接受了话剧舞台表演的挑战。肖战，你不屈不挠的努力和向阳而生的决心，我们都看在眼里，记在心上！期待舞台上熠熠生辉的你带来的惊喜！@X玖少年团肖战DAYTOY
10,"弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常面对生活、工作，我们也会以这样的心态向阳而生[组图共9张]原图",0,0,0,"<re.Match object; span=(51, 60), match='[组图共9张]原图'>",[],[],[],"弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常面对生活、工作，我们也会以这样的心态向阳而生","弱者易怒如虎，强者平静如水！岁月静好是片刻,一地鸡毛是日常面对生活、工作，我们也会以这样的心态向阳而生"
11,保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲[组图共9张]原图,0,0,0,"<re.Match object; span=(69, 78), match='[组图共9张]原图'>",[],[],[],保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲,保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲
12,浮生若梦，岁月如歌漫漫其修远兮，吾将上下求索或许前路也未必坦荡与你携手共济依然可以观前路锦绣！祈无恙山河[组图共9张]原图,0,0,0,"<re.Match object; span=(52, 61), match='[组图共9张]原图'>",[],[],[],浮生若梦，岁月如歌漫漫其修远兮，吾将上下求索或许前路也未必坦荡与你携手共济依然可以观前路锦绣！祈无恙山河,浮生若梦，岁月如歌漫漫其修远兮，吾将上下求索或许前路也未必坦荡与你携手共济依然可以观前路锦绣！祈无恙山河
14,再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。[组图共9张]原图,0,0,2,"<re.Match object; span=(200, 209), match='[组图共9张]原图'>",[],[],[],再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。,再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。
17,落笔一千零五句情话，合笺将念想赠他。有人给他举伞吗，他的愿都实现了吗。爱恨廉价似苍苍蒹葭，历尽千帆仍无瑕。纵风煞毁如麻佑众相渡他！一路滚打肃杀，扮龙套亦自洽，从海报边步步撞入画。也饰众生挣扎，酣畅难自拔。苦艾后劲皆贪共与他，那少年身仗狼牙。唇角藏意气风发，拂雪看人间坦荡。烈风驭下且把狂云驯驾，抬眼波一身风华。辨不清谁染韶光，年少成名万鬼怕。望光亮两世皆行走潇洒！再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。[组图共9张]原图,0,0,0,"<re.Match object; span=(382, 391), match='[组图共9张]原图'>",[],[],[],落笔一千零五句情话，合笺将念想赠他。有人给他举伞吗，他的愿都实现了吗。爱恨廉价似苍苍蒹葭，历尽千帆仍无瑕。纵风煞毁如麻佑众相渡他！一路滚打肃杀，扮龙套亦自洽，从海报边步步撞入画。也饰众生挣扎，酣畅难自拔。苦艾后劲皆贪共与他，那少年身仗狼牙。唇角藏意气风发，拂雪看人间坦荡。烈风驭下且把狂云驯驾，抬眼波一身风华。辨不清谁染韶光，年少成名万鬼怕。望光亮两世皆行走潇洒！再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。,落笔一千零五句情话，合笺将念想赠他。有人给他举伞吗，他的愿都实现了吗。爱恨廉价似苍苍蒹葭，历尽千帆仍无瑕。纵风煞毁如麻佑众相渡他！一路滚打肃杀，扮龙套亦自洽，从海报边步步撞入画。也饰众生挣扎，酣畅难自拔。苦艾后劲皆贪共与他，那少年身仗狼牙。唇角藏意气风发，拂雪看人间坦荡。烈风驭下且把狂云驯驾，抬眼波一身风华。辨不清谁染韶光，年少成名万鬼怕。望光亮两世皆行走潇洒！再书一千又五句牵挂，他渡众生谁渡他，演过诸多别样人生的他。想要哪种啊，爱恨廉价似苍苍蒹葭。云开处吻他伤疤，破万枷散馀霞众相皆渡他。或许他曾也愿望，行走成凡俗模样。破碎伤口藏心下，咽苦嚼痛笑说来路漫长。愿人生如戏开挂，金手指要眷顾他。任世事人心复杂，仍系皎月丹心于白大褂！爱意跌撞进俗世熙攘，借月当心事几行。告诉照亮浮沉人间的他，是目光中央。满腔赤忱任年月走马，万岁千山一个他。歌风雅戏入画自渡尘嚣上。
18,保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲[组图共9张]原图,0,0,0,"<re.Match object; span=(69, 78), match='[组图共9张]原图'>",[],[],[],保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲,保持炙热，坚持下去或许前路未必是光明坦荡但也一定充满无限可能热爱可抵岁月漫长彼此保护从来不是说说而已让我们一起变成更好的人吧成为彼此的骄傲
21,#肖战最好的你[超话]#3.19互#肖战顾魏#xz#肖战余生请多指教#肖战顾魏肖战余生请多指教肖战非常非常非常帅，肖战演技好，肖战唱歌棒，肖战人品好，肖战最温柔，热爱可抵岁月漫长，永远爱你@X玖少年团肖战DAYTOY原图,1,0,30,"<re.Match object; span=(108, 110), match='原图'>",[],"['肖战最好的你[超话]', '肖战顾魏', '肖战余生请多指教']",['@X玖少年团肖战DAYTOY'],3.19互xz肖战顾魏肖战余生请多指教肖战非常非常非常帅，肖战演技好，肖战唱歌棒，肖战人品好，肖战最温柔，热爱可抵岁月漫长，永远爱你@X玖少年团肖战DAYTOY,3.19互xz肖战顾魏肖战余生请多指教肖战非常非常非常帅，肖战演技好，肖战唱歌棒，肖战人品好，肖战最温柔，热爱可抵岁月漫长，永远爱你@X玖少年团肖战DAYTOY
